forecastdate,state,district,special,candidate,party,incumbent,model,win_probability,voteshare,p10_voteshare,p90_voteshare
2018-10-21,IA,"",,Others,,false,classic,0.0,3.21,1.05,5.93
2018-10-21,ID,"",,Brad Little,R,false,classic,0.9514,54.14,48.13,60.03
2018-10-21,ID,"",,Paulette Jordan,D,false,classic,0.0486,39.33,33.34,45.28
2018-10-21,ID,"",,Others,,false,classic,0.0,6.53,2.9,10.75
2018-10-21,IL,"",,JB Pritzker,D,false,classic,0.9102,53.91,47.51,60.28
2018-10-21,IL,"",,Bruce Rauner,R,true,classic,0.0898,41.06,34.68,47.47
2018-10-21,IL,"",,Others,,false,classic,0.0,5.03,2.01,8.62
2018-10-21,KS,"",,Kris Kobach,R,false,classic,0.6165,45.21,39.54,50.77
2018-10-21,KS,"",,Laura Kelly,D,false,classic,0.3832,43.02,37.31,48.58
2018-10-21,KS,"",,Greg Orman,I,false,classic,0.0004,9.89,5.21,15.14
2018-10-21,KS,"",,Others,,false,classic,0.0,1.88,0.49,3.65
2018-10-21,MA,"",,Charlie Baker,R,true,classic,0.9978,64.56,58.66,70.4
2018-10-21,MA,"",,Jay Gonzalez,D,false,classic,0.0022,35.44,29.6,41.34
2018-10-21,MD,"",,Larry Hogan,R,true,classic,0.9906,57.25,52.67,61.83
2018-10-21,MD,"",,Ben Jealous,D,false,classic,0.0094,39.85,35.26,44.39
2018-10-21,MD,"",,Others,,false,classic,0.0,2.9,0.92,5.37
2018-10-21,ME,"",,Janet Mills,D,false,classic,0.9063,54.12,48.8,59.44
2018-10-21,ME,"",,Shawn Moody,R,false,classic,0.0937,43.47,38.14,48.75
2018-10-21,ME,"",,Others,,false,classic,0.0,2.41,0.69,4.57
2018-10-21,MI,"",,Gretchen Whitmer,D,false,classic,0.9562,54.33,49.8,58.87
2018-10-21,MI,"",,Bill Schuette,R,false,classic,0.0438,42.52,37.93,47.02
2018-10-21,MI,"",,Others,,false,classic,0.0,3.15,1.02,5.77
2018-10-21,MN,"",,Tim Walz,D,false,classic,0.8945,53.47,48.55,58.37
2018-10-21,MN,"",,Jeff Johnson,R,false,classic,0.1055,44.14,39.21,49.06
2018-10-21,MN,"",,Others,,false,classic,0.0,2.39,0.69,4.54
2018-10-21,NE,"",,Pete Ricketts,R,true,classic,0.9911,61.24,55.64,66.75
2018-10-21,NE,"",,Bob Krist,D,false,classic,0.0089,38.76,33.25,44.36
2018-10-21,NH,"",,Chris Sununu,R,true,classic,0.9683,56.16,51.28,61.02
2018-10-21,NH,"",,Molly Kelly,D,false,classic,0.0316,41.86,36.98,46.73
2018-10-21,NH,"",,Jilletta Jarvis,L,false,classic,0.0,1.97,0.53,3.82
2018-10-21,NM,"",,Michelle Lujan Grisham,D,false,classic,0.8696,53.8,49.43,58.14
2018-10-21,NM,"",,Steve Pearce,R,false,classic,0.1304,46.2,41.86,50.57
2018-10-21,NV,"",,Adam Laxalt,R,false,classic,0.5429,49.05,44.76,53.3
2018-10-21,NV,"",,Steve Sisolak,D,false,classic,0.4571,48.37,44.06,52.64
2018-10-21,NV,"",,Others,,false,classic,0.0,2.58,0.77,4.87
2018-10-21,NY,"",,Andrew Cuomo,D,true,classic,0.9973,59.12,54.28,63.89
2018-10-21,NY,"",,Marc Molinaro,R,false,classic,0.0027,37.1,32.32,41.84
2018-10-21,NY,"",,Others,,false,classic,0.0,3.78,1.34,6.77
2018-10-21,OH,"",,Mike DeWine,R,false,classic,0.5684,49.51,45.14,53.86
2018-10-21,OH,"",,Richard Cordray,D,false,classic,0.4316,48.41,44.07,52.78
2018-10-21,OH,"",,Others,,false,classic,0.0,2.08,0.57,4.01
2018-10-21,OK,"",,Kevin Stitt,R,false,classic,0.8017,52.19,47.39,57.0
2018-10-21,OK,"",,Drew Edmondson,D,false,classic,0.1983,45.98,41.13,50.79
2018-10-21,OK,"",,Chris Powell,L,false,classic,0.0,1.83,0.48,3.56
2018-10-21,OR,"",,Kate Brown,D,true,classic,0.8563,50.71,45.33,56.13
2018-10-21,OR,"",,Knute Buehler,R,false,classic,0.1437,42.66,37.2,47.95
2018-10-21,OR,"",,Others,,false,classic,0.0,6.62,2.95,10.9
2018-10-21,PA,"",,Tom Wolf,D,true,classic,0.9884,56.84,52.59,61.05
2018-10-21,PA,"",,Scott Wagner,R,false,classic,0.0116,41.11,36.87,45.33
2018-10-21,PA,"",,Others,,false,classic,0.0,2.05,0.56,3.98
2018-10-21,RI,"",,Gina Raimondo,D,true,classic,0.9728,56.02,49.36,62.57
2018-10-21,RI,"",,Allan Fung,R,false,classic,0.0272,36.47,29.77,43.12
2018-10-21,RI,"",,Others,,false,classic,0.0,7.5,3.54,12.07
2018-10-21,SC,"",,Henry McMaster,R,true,classic,0.9817,57.93,53.3,62.6
2018-10-21,SC,"",,James Smith,D,false,classic,0.0183,42.07,37.4,46.7
2018-10-21,SD,"",,Kristi Noem,R,false,classic,0.8872,54.3,48.53,60.12
2018-10-21,SD,"",,Billie Sutton,D,false,classic,0.1128,43.61,37.84,49.38
2018-10-21,SD,"",,Kurt Evans,L,false,classic,0.0,2.09,0.57,4.04
2018-10-21,TN,"",,Bill Lee,R,false,classic,0.9699,53.81,48.64,58.86
2018-10-21,TN,"",,Karl Dean,D,false,classic,0.0301,39.72,34.58,44.82
2018-10-21,TN,"",,Others,,false,classic,0.0,6.47,2.86,10.67
2018-10-21,TX,"",,Greg Abbott,R,true,classic,0.9956,58.42,54.15,62.64
2018-10-21,TX,"",,Lupe Valdez,D,false,classic,0.0044,39.69,35.42,43.92
2018-10-21,TX,"",,Mark Tippetts,L,false,classic,0.0,1.89,0.5,3.7
2018-10-21,VT,"",,Phil Scott,R,true,classic,0.9568,53.52,48.05,58.86
2018-10-21,VT,"",,Christine Hallquist,D,false,classic,0.0432,39.94,34.52,45.28
2018-10-21,VT,"",,Others,,false,classic,0.0,6.54,2.91,10.77
2018-10-21,WI,"",,Tony Evers,D,false,classic,0.6275,49.52,44.42,54.59
2018-10-21,WI,"",,Scott Walker,R,true,classic,0.3725,47.09,41.96,52.17
2018-10-21,WI,"",,Others,,false,classic,0.0,3.39,1.14,6.16
2018-10-21,WY,"",,Mark Gordon,R,false,classic,0.9932,60.12,54.03,66.14
2018-10-21,WY,"",,Mary Throne,D,false,classic,0.0068,35.32,29.26,41.35
2018-10-21,WY,"",,Others,,false,classic,0.0,4.55,1.74,7.93
2018-10-22,AK,"",,Mike Dunleavy,R,false,classic,0.6475,50.42,44.8,55.96
2018-10-22,AK,"",,Mark Begich,D,false,classic,0.3525,47.18,41.66,52.77
2018-10-22,AK,"",,Others,,false,classic,0.0,2.41,0.7,4.55
2018-10-22,AL,"",,Kay Ivey,R,true,classic,0.9862,58.38,53.77,62.97
2018-10-22,AL,"",,Walt Maddox,D,false,classic,0.0138,41.62,37.03,46.23
2018-10-22,AR,"",,Asa Hutchinson,R,true,classic,0.998,62.48,56.92,68.0
2018-10-22,AR,"",,Jared Henderson,D,false,classic,0.002,34.74,29.18,40.25
2018-10-22,AR,"",,Mark West,L,false,classic,0.0,2.78,0.87,5.2
2018-10-22,AZ,"",,Doug Ducey,R,true,classic,0.9454,54.58,50.05,59.08
2018-10-22,AZ,"",,David Garcia,D,false,classic,0.0546,43.29,38.77,47.83
2018-10-22,AZ,"",,Angel Torres,G,false,classic,0.0,2.13,0.59,4.07
2018-10-22,CA,"",,Gavin Newsom,D,false,classic,0.99,59.6,54.64,64.52
2018-10-22,CA,"",,John Cox,R,false,classic,0.01,40.4,35.48,45.36
2018-10-22,CO,"",,Jared Polis,D,false,classic,0.956,55.09,50.6,59.55
2018-10-22,CO,"",,Walker Stapleton,R,false,classic,0.044,43.19,38.72,47.62
2018-10-22,CO,"",,Others,,false,classic,0.0,1.73,0.43,3.39
2018-10-22,CT,"",,Ned Lamont,D,false,classic,0.8314,52.03,47.38,56.68
2018-10-22,CT,"",,Bob Stefanowski,R,false,classic,0.1686,45.42,40.74,50.06
2018-10-22,CT,"",,Others,,false,classic,0.0,2.54,0.75,4.8
2018-10-22,FL,"",,Andrew Gillum,D,false,classic,0.7858,51.22,46.97,55.42
2018-10-22,FL,"",,Ron DeSantis,R,false,classic,0.2142,46.25,42.03,50.48
2018-10-22,FL,"",,Others,,false,classic,0.0,2.52,0.74,4.75
2018-10-22,GA,"",,Brian Kemp,R,false,classic,0.5555,49.64,45.85,53.44
2018-10-22,GA,"",,Stacey Abrams,D,false,classic,0.4445,49.16,45.34,52.96
2018-10-22,GA,"",,Ted Metz,L,false,classic,0.0,1.2,0.26,2.45
2018-10-22,HI,"",,David Ige,D,true,classic,0.9981,63.14,57.05,69.12
2018-10-22,HI,"",,Andria Tupola,R,false,classic,0.0019,33.22,27.23,39.27
2018-10-22,HI,"",,Others,,false,classic,0.0,3.64,1.26,6.56
2018-10-22,IA,"",,Fred Hubbell,D,false,classic,0.8559,52.58,47.27,57.9
2018-10-22,IA,"",,Kim Reynolds,R,true,classic,0.1441,44.22,38.88,49.5
2018-10-22,IA,"",,Others,,false,classic,0.0,3.19,1.05,5.87
2018-10-22,ID,"",,Brad Little,R,false,classic,0.9454,53.72,47.6,59.76
2018-10-22,ID,"",,Paulette Jordan,D,false,classic,0.0546,39.32,33.22,45.37
2018-10-22,ID,"",,Others,,false,classic,0.0,6.96,3.19,11.32
2018-10-22,IL,"",,JB Pritzker,D,false,classic,0.9106,53.99,47.51,60.28
2018-10-22,IL,"",,Bruce Rauner,R,true,classic,0.0894,40.99,34.58,47.43
2018-10-22,IL,"",,Others,,false,classic,0.0,5.01,2.01,8.58
2018-10-22,KS,"",,Kris Kobach,R,false,classic,0.6092,45.13,39.46,50.69
2018-10-22,KS,"",,Laura Kelly,D,false,classic,0.3906,43.11,37.5,48.61
2018-10-22,KS,"",,Greg Orman,I,false,classic,0.0003,9.89,5.24,15.09
2018-10-22,KS,"",,Others,,false,classic,0.0,1.87,0.49,3.64
2018-10-22,MA,"",,Charlie Baker,R,true,classic,0.9969,64.49,58.58,70.39
2018-10-22,MA,"",,Jay Gonzalez,D,false,classic,0.0031,35.51,29.61,41.42
2018-10-22,MD,"",,Larry Hogan,R,true,classic,0.9904,57.19,52.59,61.77
2018-10-22,MD,"",,Ben Jealous,D,false,classic,0.0096,39.93,35.32,44.52
2018-10-22,MD,"",,Others,,false,classic,0.0,2.89,0.91,5.37
2018-10-22,ME,"",,Janet Mills,D,false,classic,0.9107,54.22,48.96,59.53
2018-10-22,ME,"",,Shawn Moody,R,false,classic,0.0893,43.39,38.07,48.64
2018-10-22,ME,"",,Others,,false,classic,0.0,2.39,0.7,4.53
2018-10-22,MI,"",,Gretchen Whitmer,D,false,classic,0.9632,54.57,50.01,59.1
2018-10-22,MI,"",,Bill Schuette,R,false,classic,0.0368,42.2,37.64,46.73
2018-10-22,MI,"",,Others,,false,classic,0.0,3.23,1.07,5.88
2018-10-22,MN,"",,Tim Walz,D,false,classic,0.9025,53.52,48.68,58.42
2018-10-22,MN,"",,Jeff Johnson,R,false,classic,0.0975,44.1,39.19,48.89
2018-10-22,MN,"",,Others,,false,classic,0.0,2.38,0.69,4.53
2018-10-22,NE,"",,Pete Ricketts,R,true,classic,0.991,61.15,55.56,66.67
2018-10-22,NE,"",,Bob Krist,D,false,classic,0.009,38.85,33.33,44.44
2018-10-22,NH,"",,Chris Sununu,R,true,classic,0.9669,56.09,51.19,60.93
2018-10-22,NH,"",,Molly Kelly,D,false,classic,0.0331,41.93,37.04,46.8
2018-10-22,NH,"",,Jilletta Jarvis,L,false,classic,0.0,1.99,0.54,3.84
2018-10-22,NM,"",,Michelle Lujan Grisham,D,false,classic,0.8777,53.88,49.58,58.25
2018-10-22,NM,"",,Steve Pearce,R,false,classic,0.1223,46.12,41.75,50.42
2018-10-22,NV,"",,Adam Laxalt,R,false,classic,0.5343,48.99,44.69,53.26
2018-10-22,NV,"",,Steve Sisolak,D,false,classic,0.4657,48.44,44.11,52.72
2018-10-22,NV,"",,Others,,false,classic,0.0,2.57,0.77,4.83
2018-10-22,NY,"",,Andrew Cuomo,D,true,classic,0.9969,59.18,54.33,63.95
2018-10-22,NY,"",,Marc Molinaro,R,false,classic,0.0031,37.04,32.22,41.84
2018-10-22,NY,"",,Others,,false,classic,0.0,3.78,1.33,6.77
2018-10-22,OH,"",,Mike DeWine,R,false,classic,0.5588,49.44,45.06,53.77
2018-10-22,OH,"",,Richard Cordray,D,false,classic,0.4412,48.49,44.15,52.88
2018-10-22,OH,"",,Others,,false,classic,0.0,2.07,0.57,4.0
2018-10-22,OK,"",,Kevin Stitt,R,false,classic,0.8001,52.13,47.27,56.89
2018-10-22,OK,"",,Drew Edmondson,D,false,classic,0.1999,46.06,41.26,50.87
2018-10-22,OK,"",,Chris Powell,L,false,classic,0.0,1.82,0.47,3.54
2018-10-22,OR,"",,Kate Brown,D,true,classic,0.8575,50.8,45.39,56.16
2018-10-22,OR,"",,Knute Buehler,R,false,classic,0.1425,42.61,37.13,47.98
2018-10-22,OR,"",,Others,,false,classic,0.0,6.6,2.98,10.8
2018-10-22,PA,"",,Tom Wolf,D,true,classic,0.9892,56.93,52.68,61.12
2018-10-22,PA,"",,Scott Wagner,R,false,classic,0.0108,41.03,36.83,45.26
2018-10-22,PA,"",,Others,,false,classic,0.0,2.04,0.55,3.93
2018-10-22,RI,"",,Gina Raimondo,D,true,classic,0.9743,56.09,49.41,62.71
2018-10-22,RI,"",,Allan Fung,R,false,classic,0.0257,36.27,29.6,42.91
2018-10-22,RI,"",,Others,,false,classic,0.0,7.64,3.63,12.23
2018-10-22,SC,"",,Henry McMaster,R,true,classic,0.9793,57.87,53.26,62.43
2018-10-22,SC,"",,James Smith,D,false,classic,0.0207,42.13,37.57,46.74
2018-10-22,SD,"",,Kristi Noem,R,false,classic,0.8854,54.22,48.46,59.9
2018-10-22,SD,"",,Billie Sutton,D,false,classic,0.1146,43.71,38.0,49.41
2018-10-22,SD,"",,Kurt Evans,L,false,classic,0.0,2.08,0.57,4.0
2018-10-22,TN,"",,Bill Lee,R,false,classic,0.9696,53.76,48.61,58.83
2018-10-22,TN,"",,Karl Dean,D,false,classic,0.0304,39.78,34.63,44.85
2018-10-22,TN,"",,Others,,false,classic,0.0,6.46,2.85,10.63
2018-10-22,TX,"",,Greg Abbott,R,true,classic,0.9955,58.36,54.11,62.58
2018-10-22,TX,"",,Lupe Valdez,D,false,classic,0.0045,39.75,35.49,43.97
2018-10-22,TX,"",,Mark Tippetts,L,false,classic,0.0,1.89,0.5,3.68
2018-10-22,VT,"",,Phil Scott,R,true,classic,0.9406,51.45,45.68,57.04
2018-10-22,VT,"",,Christine Hallquist,D,false,classic,0.0594,38.89,33.22,44.6
2018-10-22,VT,"",,Others,,false,classic,0.0,9.66,5.04,14.8
2018-10-22,WI,"",,Tony Evers,D,false,classic,0.638,49.6,44.51,54.65
2018-10-22,WI,"",,Scott Walker,R,true,classic,0.362,47.03,41.92,52.12
2018-10-22,WI,"",,Others,,false,classic,0.0,3.38,1.15,6.13
2018-10-22,WY,"",,Mark Gordon,R,false,classic,0.9937,60.0,53.92,66.01
2018-10-22,WY,"",,Mary Throne,D,false,classic,0.0063,35.44,29.36,41.49
2018-10-22,WY,"",,Others,,false,classic,0.0,4.55,1.76,7.93
2018-10-23,AK,"",,Mike Dunleavy,R,false,classic,0.6541,50.43,44.89,56.04
2018-10-23,AK,"",,Mark Begich,D,false,classic,0.3459,47.17,41.51,52.73
2018-10-23,AK,"",,Others,,false,classic,0.0,2.4,0.7,4.54
2018-10-23,AL,"",,Kay Ivey,R,true,classic,0.9862,58.43,53.86,63.04
2018-10-23,AL,"",,Walt Maddox,D,false,classic,0.0138,41.57,36.96,46.14
2018-10-23,AR,"",,Asa Hutchinson,R,true,classic,0.9978,62.51,56.96,67.97
2018-10-23,AR,"",,Jared Henderson,D,false,classic,0.0022,34.72,29.22,40.25
2018-10-23,AR,"",,Mark West,L,false,classic,0.0,2.77,0.87,5.14
2018-10-23,AZ,"",,Doug Ducey,R,true,classic,0.9481,54.61,50.08,59.16
2018-10-23,AZ,"",,David Garcia,D,false,classic,0.0519,43.27,38.67,47.77
2018-10-23,AZ,"",,Angel Torres,G,false,classic,0.0,2.12,0.59,4.08
2018-10-23,CA,"",,Gavin Newsom,D,false,classic,0.9894,59.54,54.6,64.48
2018-10-23,CA,"",,John Cox,R,false,classic,0.0106,40.46,35.52,45.4
2018-10-23,CO,"",,Jared Polis,D,false,classic,0.955,55.06,50.58,59.58
2018-10-23,CO,"",,Walker Stapleton,R,false,classic,0.045,43.22,38.7,47.64
2018-10-23,CO,"",,Others,,false,classic,0.0,1.72,0.44,3.4
2018-10-23,CT,"",,Ned Lamont,D,false,classic,0.8206,51.81,47.15,56.47
2018-10-23,CT,"",,Bob Stefanowski,R,false,classic,0.1794,45.5,40.79,50.17
2018-10-23,CT,"",,Others,,false,classic,0.0,2.69,0.81,5.05
2018-10-23,FL,"",,Andrew Gillum,D,false,classic,0.7816,51.16,46.91,55.38
2018-10-23,FL,"",,Ron DeSantis,R,false,classic,0.2184,46.29,42.01,50.51
2018-10-23,FL,"",,Others,,false,classic,0.0,2.55,0.76,4.79
2018-10-23,GA,"",,Brian Kemp,R,false,classic,0.5543,49.66,45.76,53.51
2018-10-23,GA,"",,Stacey Abrams,D,false,classic,0.4457,49.17,45.33,53.01
2018-10-23,GA,"",,Ted Metz,L,false,classic,0.0,1.17,0.26,2.38
2018-10-23,HI,"",,David Ige,D,true,classic,0.9982,63.12,57.12,69.08
2018-10-23,HI,"",,Andria Tupola,R,false,classic,0.0018,33.26,27.28,39.25
2018-10-23,HI,"",,Others,,false,classic,0.0,3.62,1.27,6.5
2018-10-23,IA,"",,Fred Hubbell,D,false,classic,0.8536,52.56,47.25,57.83
2018-10-23,IA,"",,Kim Reynolds,R,true,classic,0.1464,44.25,38.95,49.57
2018-10-23,IA,"",,Others,,false,classic,0.0,3.18,1.06,5.82
2018-10-23,ID,"",,Brad Little,R,false,classic,0.9452,53.74,47.62,59.83
2018-10-23,ID,"",,Paulette Jordan,D,false,classic,0.0548,39.31,33.21,45.32
2018-10-23,ID,"",,Others,,false,classic,0.0,6.95,3.2,11.28
2018-10-23,IL,"",,JB Pritzker,D,false,classic,0.9119,53.98,47.53,60.39
2018-10-23,IL,"",,Bruce Rauner,R,true,classic,0.0881,41.01,34.59,47.4
2018-10-23,IL,"",,Others,,false,classic,0.0,5.01,1.99,8.56
2018-10-23,KS,"",,Kris Kobach,R,false,classic,0.6654,45.03,39.4,50.63
2018-10-23,KS,"",,Laura Kelly,D,false,classic,0.334,41.93,36.18,47.5
2018-10-23,KS,"",,Greg Orman,I,false,classic,0.0006,11.23,6.26,16.7
2018-10-23,KS,"",,Others,,false,classic,0.0,1.81,0.47,3.55
2018-10-23,MA,"",,Charlie Baker,R,true,classic,0.9975,64.51,58.63,70.33
2018-10-23,MA,"",,Jay Gonzalez,D,false,classic,0.0025,35.49,29.67,41.37
2018-10-23,MD,"",,Larry Hogan,R,true,classic,0.9907,57.22,52.66,61.76
2018-10-23,MD,"",,Ben Jealous,D,false,classic,0.0093,39.91,35.35,44.42
2018-10-23,MD,"",,Others,,false,classic,0.0,2.88,0.92,5.32
2018-10-23,ME,"",,Janet Mills,D,false,classic,0.9077,54.2,48.87,59.49
2018-10-23,ME,"",,Shawn Moody,R,false,classic,0.0923,43.46,38.18,48.74
2018-10-23,ME,"",,Others,,false,classic,0.0,2.34,0.68,4.46
2018-10-23,MI,"",,Gretchen Whitmer,D,false,classic,0.9608,54.53,49.95,59.1
2018-10-23,MI,"",,Bill Schuette,R,false,classic,0.0392,42.24,37.65,46.79
2018-10-23,MI,"",,Others,,false,classic,0.0,3.23,1.07,5.86
2018-10-23,MN,"",,Tim Walz,D,false,classic,0.8954,53.51,48.6,58.4
2018-10-23,MN,"",,Jeff Johnson,R,false,classic,0.1046,44.14,39.26,49.06
2018-10-23,MN,"",,Others,,false,classic,0.0,2.35,0.68,4.45
2018-10-23,NE,"",,Pete Ricketts,R,true,classic,0.9905,61.15,55.56,66.64
2018-10-23,NE,"",,Bob Krist,D,false,classic,0.0095,38.85,33.36,44.44
2018-10-23,NH,"",,Chris Sununu,R,true,classic,0.969,56.11,51.26,61.0
2018-10-23,NH,"",,Molly Kelly,D,false,classic,0.0309,41.91,37.01,46.75
2018-10-23,NH,"",,Jilletta Jarvis,L,false,classic,0.0,1.98,0.53,3.85
2018-10-23,NM,"",,Michelle Lujan Grisham,D,false,classic,0.8735,53.85,49.5,58.17
2018-10-23,NM,"",,Steve Pearce,R,false,classic,0.1265,46.15,41.83,50.5
2018-10-23,NV,"",,Adam Laxalt,R,false,classic,0.5371,49.0,44.71,53.27
2018-10-23,NV,"",,Steve Sisolak,D,false,classic,0.4629,48.42,44.11,52.69
2018-10-23,NV,"",,Others,,false,classic,0.0,2.57,0.78,4.81
2018-10-23,NY,"",,Andrew Cuomo,D,true,classic,0.9976,59.13,54.36,63.92
2018-10-23,NY,"",,Marc Molinaro,R,false,classic,0.0024,37.09,32.25,41.83
2018-10-23,NY,"",,Others,,false,classic,0.0,3.78,1.34,6.74
2018-10-23,OH,"",,Mike DeWine,R,false,classic,0.5617,49.46,45.08,53.82
2018-10-23,OH,"",,Richard Cordray,D,false,classic,0.4383,48.48,44.04,52.81
2018-10-23,OH,"",,Others,,false,classic,0.0,2.06,0.56,3.97
2018-10-23,OK,"",,Kevin Stitt,R,false,classic,0.8009,52.14,47.34,56.95
2018-10-23,OK,"",,Drew Edmondson,D,false,classic,0.1991,46.05,41.23,50.84
2018-10-23,OK,"",,Chris Powell,L,false,classic,0.0,1.81,0.48,3.53
2018-10-23,OR,"",,Kate Brown,D,true,classic,0.8573,50.78,45.35,56.12
2018-10-23,OR,"",,Knute Buehler,R,false,classic,0.1427,42.63,37.18,48.0
2018-10-23,OR,"",,Others,,false,classic,0.0,6.59,2.97,10.76
2018-10-23,PA,"",,Tom Wolf,D,true,classic,0.9889,56.91,52.65,61.16
2018-10-23,PA,"",,Scott Wagner,R,false,classic,0.0111,41.05,36.78,45.3
2018-10-23,PA,"",,Others,,false,classic,0.0,2.04,0.56,3.93
2018-10-23,RI,"",,Gina Raimondo,D,true,classic,0.9746,56.08,49.47,62.67
2018-10-23,RI,"",,Allan Fung,R,false,classic,0.0254,36.29,29.66,42.91
2018-10-23,RI,"",,Others,,false,classic,0.0,7.63,3.66,12.19
2018-10-23,SC,"",,Henry McMaster,R,true,classic,0.9811,57.89,53.28,62.49
2018-10-23,SC,"",,James Smith,D,false,classic,0.0189,42.11,37.51,46.72
2018-10-23,SD,"",,Kristi Noem,R,false,classic,0.8855,54.24,48.52,60.03
2018-10-23,SD,"",,Billie Sutton,D,false,classic,0.1145,43.7,37.89,49.44
2018-10-23,SD,"",,Kurt Evans,L,false,classic,0.0,2.06,0.57,3.97
2018-10-23,TN,"",,Bill Lee,R,false,classic,0.968,53.81,48.64,58.85
2018-10-23,TN,"",,Karl Dean,D,false,classic,0.032,39.74,34.65,44.86
2018-10-23,TN,"",,Others,,false,classic,0.0,6.45,2.86,10.6
2018-10-23,TX,"",,Greg Abbott,R,true,classic,0.9958,58.4,54.15,62.61
2018-10-23,TX,"",,Lupe Valdez,D,false,classic,0.0042,39.72,35.45,43.92
2018-10-23,TX,"",,Mark Tippetts,L,false,classic,0.0,1.89,0.5,3.68
2018-10-23,VT,"",,Phil Scott,R,true,classic,0.9416,51.47,45.72,57.09
2018-10-23,VT,"",,Christine Hallquist,D,false,classic,0.0584,38.88,33.16,44.56
2018-10-23,VT,"",,Others,,false,classic,0.0,9.65,5.08,14.81
2018-10-23,WI,"",,Tony Evers,D,false,classic,0.6365,49.61,44.51,54.63
2018-10-23,WI,"",,Scott Walker,R,true,classic,0.3635,47.0,41.91,52.06
2018-10-23,WI,"",,Others,,false,classic,0.0,3.38,1.15,6.15
2018-10-23,WY,"",,Mark Gordon,R,false,classic,0.9936,60.0,53.86,66.08
2018-10-23,WY,"",,Mary Throne,D,false,classic,0.0064,35.45,29.28,41.53
2018-10-23,WY,"",,Others,,false,classic,0.0,4.55,1.74,7.94
2018-10-24,AK,"",,Mike Dunleavy,R,false,classic,0.6603,50.53,44.95,56.1
2018-10-24,AK,"",,Mark Begich,D,false,classic,0.3397,47.07,41.5,52.63
2018-10-24,AK,"",,Others,,false,classic,0.0,2.4,0.7,4.53
2018-10-24,AL,"",,Kay Ivey,R,true,classic,0.9884,58.55,53.94,63.16
2018-10-24,AL,"",,Walt Maddox,D,false,classic,0.0116,41.45,36.84,46.06
2018-10-24,AR,"",,Asa Hutchinson,R,true,classic,0.9981,62.6,57.01,68.06
2018-10-24,AR,"",,Jared Henderson,D,false,classic,0.0019,34.63,29.19,40.18
2018-10-24,AR,"",,Mark West,L,false,classic,0.0,2.77,0.88,5.16
2018-10-24,AZ,"",,Doug Ducey,R,true,classic,0.9499,54.72,50.18,59.24
2018-10-24,AZ,"",,David Garcia,D,false,classic,0.0501,43.17,38.64,47.68
2018-10-24,AZ,"",,Angel Torres,G,false,classic,0.0,2.12,0.59,4.05
2018-10-24,CA,"",,Gavin Newsom,D,false,classic,0.9896,59.58,54.65,64.51
2018-10-24,CA,"",,John Cox,R,false,classic,0.0104,40.42,35.49,45.35
2018-10-24,CO,"",,Jared Polis,D,false,classic,0.9548,55.04,50.56,59.48
2018-10-24,CO,"",,Walker Stapleton,R,false,classic,0.0452,43.19,38.69,47.64
2018-10-24,CO,"",,Others,,false,classic,0.0,1.78,0.46,3.46
2018-10-24,CT,"",,Ned Lamont,D,false,classic,0.8156,51.74,47.1,56.4
2018-10-24,CT,"",,Bob Stefanowski,R,false,classic,0.1844,45.57,40.88,50.2
2018-10-24,CT,"",,Others,,false,classic,0.0,2.69,0.83,5.01
2018-10-24,FL,"",,Andrew Gillum,D,false,classic,0.7997,51.38,47.13,55.65
2018-10-24,FL,"",,Ron DeSantis,R,false,classic,0.2003,46.12,41.84,50.35
2018-10-24,FL,"",,Others,,false,classic,0.0,2.51,0.75,4.71
2018-10-24,GA,"",,Brian Kemp,R,false,classic,0.5756,49.82,45.95,53.62
2018-10-24,GA,"",,Stacey Abrams,D,false,classic,0.4244,48.99,45.15,52.83
2018-10-24,GA,"",,Ted Metz,L,false,classic,0.0,1.19,0.26,2.41
2018-10-24,HI,"",,David Ige,D,true,classic,0.9983,63.0,57.02,69.06
2018-10-24,HI,"",,Andria Tupola,R,false,classic,0.0017,33.38,27.31,39.34
2018-10-24,HI,"",,Others,,false,classic,0.0,3.62,1.26,6.5
2018-10-24,IA,"",,Fred Hubbell,D,false,classic,0.8413,52.35,47.06,57.61
2018-10-24,IA,"",,Kim Reynolds,R,true,classic,0.1587,44.49,39.19,49.76
2018-10-24,IA,"",,Others,,false,classic,0.0,3.16,1.04,5.74
2018-10-24,ID,"",,Brad Little,R,false,classic,0.95,53.9,47.83,59.95
2018-10-24,ID,"",,Paulette Jordan,D,false,classic,0.05,39.17,33.11,45.14
2018-10-24,ID,"",,Others,,false,classic,0.0,6.93,3.2,11.21
2018-10-24,IL,"",,JB Pritzker,D,false,classic,0.9115,53.98,47.58,60.32
2018-10-24,IL,"",,Bruce Rauner,R,true,classic,0.0885,41.02,34.58,47.41
2018-10-24,IL,"",,Others,,false,classic,0.0,5.01,2.0,8.56
2018-10-24,KS,"",,Kris Kobach,R,false,classic,0.6697,45.12,39.33,50.77
2018-10-24,KS,"",,Laura Kelly,D,false,classic,0.3299,41.84,36.18,47.43
2018-10-24,KS,"",,Greg Orman,I,false,classic,0.0004,11.23,6.28,16.71
2018-10-24,KS,"",,Others,,false,classic,0.0,1.81,0.47,3.57
2018-10-24,MA,"",,Charlie Baker,R,true,classic,0.9975,64.65,58.8,70.51
